iter	RMSE
0	882.9411749
1	861.1773996
2	840.5531349
3	822.0877412
4	804.8801319
5	788.2042762
6	771.6188137
7	755.771697
8	741.9534084
9	728.9235737
10	715.8908194
11	701.8567982
12	685.8831356
13	671.333277
14	657.3563095
15	644.8749935
16	632.7063358
17	622.0953136
18	607.6568677
19	594.6062913
20	582.2930522
21	572.1050424
22	561.3560073
23	550.0995823
24	541.6666281
25	532.2552756
26	524.6554582
27	516.7388764
28	508.6528264
29	500.0468508
30	492.7719093
31	483.1692344
32	474.2647467
33	467.4717714
34	461.3781165
35	453.3741515
36	447.6486477
37	442.2124937
38	435.9218148
39	430.4624377
40	425.4763112
41	420.200218
42	414.9620041
43	410.754912
44	406.1265779
45	401.4622456
46	397.4471316
47	394.2978529
48	389.4113492
49	385.2306789
50	381.16595
51	375.9796185
52	371.5760238
53	366.8897605
54	362.373995
55	359.6059759
56	357.4133481
57	354.0194146
58	350.9983535
59	348.8412755
60	345.7213526
61	343.4994098
62	340.9379345
63	337.9310158
64	334.6944484
65	330.6157875
66	328.4031468
67	326.2950257
68	323.3339759
69	321.3316954
70	319.5746251
71	316.5198863
72	313.4096553
73	311.4349611
74	309.5066611
75	307.7841906
76	305.6203249
77	303.7263677
78	301.5755834
79	300.0704395
80	296.974754
81	295.4863698
82	293.7543672
83	291.6755412
84	290.2979272
85	288.1473137
86	286.5715954
87	283.7895201
88	282.3279966
89	279.8620396
90	277.4814296
91	276.0988197
92	274.6727858
93	272.6990051
94	270.4278986
95	268.4844309
96	267.1818388
97	266.0231069
98	264.84762
99	263.3981002
100	262.2751914
101	260.7307251
102	259.3176468
103	257.6990545
104	256.4345064
105	255.2068569
106	253.1838503
107	251.6850568
108	250.5156263
109	249.5680279
110	248.6392858
111	247.6162979
112	246.713942
113	245.8299755
114	243.9239964
115	242.2803659
116	241.699579
117	240.3111667
118	239.4819169
119	237.9227485
120	237.1002243
121	235.8152442
122	234.7196597
123	233.7925539
124	232.3507462
125	231.7104797
126	230.9857879
127	229.7739231
128	228.7354817
129	227.2038912
130	226.402694
131	225.8308543
132	224.7844515
133	224.2180541
134	223.3629698
135	222.456937
136	221.3700831
137	220.4973217
138	219.6536338
139	219.0046284
140	218.1016964
141	217.580773
142	217.0869328
143	216.2890925
144	215.424688
145	214.3961157
146	213.7039758
147	212.7229805
148	212.1355677
149	211.2366286
150	210.4945964
151	209.3198307
152	208.5088169
153	207.5910016
154	206.6921981
155	205.8291698
156	205.1515647
157	204.3697613
158	203.7146475
159	202.6652774
160	201.9989155
161	201.2332658
162	200.6814903
163	200.0794938
164	199.3364784
165	198.7008457
166	198.0596833
167	197.5161071
168	196.710817
169	196.1593527
170	195.5381332
171	195.0471569
172	194.4468212
173	193.8063254
174	193.0533391
175	192.5191358
176	191.8215033
177	191.1857532
178	190.5095604
179	189.9897239
180	189.4896336
181	188.9567726
182	188.2943196
183	187.6988783
184	187.2176025
185	186.5538681
186	185.846387
187	185.4136955
188	184.9683573
189	184.3779913
190	183.666838
191	183.2142459
192	182.3261216
193	181.7470024
194	181.1930829
195	180.6676216
196	180.2564026
197	179.7070551
198	179.2041592
199	178.6768688
200	178.1640246
201	177.702879
202	177.3201076
203	176.5980285
204	176.1660348
205	175.690684
206	175.2754888
207	174.3565008
208	174.0078045
209	173.1450461
210	172.7943806
211	172.4571344
212	172.0426411
213	171.6149329
214	171.1969639
215	170.788347
216	170.3965761
217	170.0953163
218	169.7259865
219	169.3447727
220	168.9730669
221	168.6943005
222	168.3386425
223	168.0699306
224	167.7253476
225	167.3897169
226	167.1360816
227	166.6377475
228	166.3152056
229	166.0096361
230	165.7270844
231	165.4922241
232	165.1905736
233	164.9234476
234	164.6349133
235	164.3785049
236	164.1017842
237	163.8299796
238	163.56596
239	163.3088229
240	163.0752318
241	162.881459
242	162.6383396
243	162.4180158
244	162.202772
245	161.9716259
246	161.7659288
247	161.5443673
248	161.3237921
249	161.1296414
250	160.4705074
251	159.8304609
252	159.6668466
253	159.4798487
254	159.3227498
255	159.1432358
256	158.9456827
257	158.790975
258	158.621132
259	158.4369675
260	158.2548772
261	157.4208864
262	157.2443477
263	157.0865776
264	156.9173699
265	156.7660437
266	156.618219
267	156.4587266
268	156.3169481
269	156.1784467
270	156.0242904
271	155.4085832
272	155.2752203
273	155.1618055
274	154.6112593
275	154.4671664
276	154.3411306
277	154.2044934
278	154.0836289
279	153.9655526
280	153.8501955
281	153.7374906
282	153.6273727
283	153.5227324
