iter	Passed	Remaining
0	4	224
1	8	213
2	13	211
3	17	200
4	21	192
5	26	193
6	30	187
7	34	181
8	38	174
9	42	170
10	46	165
11	51	161
12	54	156
13	59	151
14	63	148
15	68	146
16	73	141
17	77	137
18	81	133
19	85	128
20	89	123
21	93	118
22	97	114
23	101	110
24	105	105
25	109	101
26	114	97
27	118	92
28	121	88
29	122	81
30	126	77
31	131	74
32	135	69
33	139	65
34	143	61
35	147	57
36	151	53
37	155	48
38	159	44
39	163	40
40	168	36
41	171	32
42	175	28
43	179	24
44	183	20
45	187	16
46	190	12
47	194	8
48	198	4
49	200	0
