iter	RMSE
0	883.65541
1	862.631698
2	843.8781948
3	824.1550678
4	805.8664323
5	792.6434937
6	775.0941733
7	760.9115323
8	746.1605252
9	731.5066931
10	719.0837659
11	706.6999634
12	692.5229489
13	680.0232925
14	666.9768788
15	651.9291556
16	639.8009797
17	624.7996177
18	614.5178456
19	603.7905699
20	591.159881
21	579.3074373
22	565.8651048
23	556.0091167
24	544.0649549
25	532.2279155
26	521.8954791
27	514.1008955
28	504.7570934
29	496.1208446
30	488.1420771
31	479.9951553
32	473.0226532
33	466.4042475
34	458.1481935
35	453.2799811
36	446.061344
37	437.0532581
38	430.2257199
39	424.0469776
40	419.8102589
41	411.9502318
42	404.6550753
43	399.7592665
44	394.3796252
45	389.431582
46	385.3275009
47	379.6709191
48	373.7886091
49	367.1151512
50	361.307173
51	355.7462289
52	350.9405828
53	347.1876556
54	342.6598473
55	338.1901645
56	333.0547688
57	326.8067055
58	322.3986804
59	316.9385241
60	313.6473305
61	309.6513461
62	307.21275
63	303.1415027
64	300.4238401
65	298.1332166
66	294.7263737
67	290.1556606
68	285.7979646
69	283.1932049
70	279.2330634
71	275.3939114
72	272.8758773
73	269.1450709
74	265.2920005
75	261.6524792
76	257.3482427
77	254.4952198
78	251.0964066
79	247.1010557
80	243.820903
81	240.0844677
82	237.6305658
83	236.0788769
84	232.691745
85	230.4622646
86	228.9083777
87	226.342545
88	224.8334168
89	222.5540504
90	220.701791
91	217.9945947
92	216.0820165
93	213.8856246
94	211.0073152
95	208.0309614
96	205.1344508
97	202.9571474
98	201.2444114
99	199.2467835
100	197.1112445
101	195.0850577
102	194.1004403
103	192.6131344
104	190.4194613
105	189.5706712
106	187.6598014
107	185.0619888
108	182.890058
109	180.987376
110	179.647677
111	178.9073671
112	177.3123245
113	175.4999761
114	174.3701572
115	172.9414743
116	172.2151256
117	170.3563532
118	169.5297548
119	167.9646331
120	166.765844
121	164.9220046
122	163.8821043
123	163.1726215
124	161.2530618
125	159.5527424
126	157.6753528
127	156.4090911
128	154.8565198
129	154.0655718
130	152.8630795
131	151.2832681
132	149.1089167
133	147.5718338
134	147.1564503
135	145.8500932
136	144.144374
137	142.3613057
138	141.7181767
139	141.0111383
140	139.568265
141	139.0261929
142	137.6432002
143	136.1453024
144	135.6390042
145	134.4353182
146	133.3587518
147	133.0306407
148	132.650291
149	131.7755958
150	131.3200194
151	129.9057347
152	129.2195159
153	128.4430366
154	127.3125574
155	125.6000936
156	124.3578362
157	123.7402028
158	123.1743654
159	122.8980296
160	122.4798302
161	120.8557481
162	119.6089244
163	119.0580085
164	117.847029
165	117.4952366
166	117.1817391
167	116.9468171
168	115.8939202
169	114.855667
170	114.5323731
171	113.7930988
172	113.491603
173	112.4953072
174	111.7404705
175	111.5322795
176	110.4660804
177	109.6624025
178	109.2185091
179	108.733008
180	108.2654436
181	108.0130245
182	107.5581776
183	107.1184688
184	106.662918
185	106.0254348
186	105.7978812
187	105.4293396
188	105.2221147
189	103.86974
190	103.7233308
191	103.3935819
192	103.07337
193	102.7301692
194	101.5920604
195	101.2943966
196	100.5736136
197	100.3820474
198	99.14977732
199	98.15938696
200	97.84047851
201	97.52812062
202	96.97084949
203	96.63410107
204	95.63832194
205	95.26601529
206	95.00382058
207	94.6933953
208	94.05274015
209	93.80577448
210	93.48943814
211	92.92085177
212	92.68571605
213	92.41012099
214	92.1549672
