iter	Passed	Remaining
0	167	167638
1	170	85261
2	173	57725
3	178	44380
4	180	35947
5	182	30268
6	184	26118
7	185	23012
8	187	20607
9	188	18651
10	190	17096
11	191	15753
12	194	14746
13	196	13821
14	197	12967
15	198	12224
16	199	11557
17	201	10974
18	202	10461
19	203	9987
20	205	9557
21	206	9171
22	207	8825
23	210	8567
24	211	8267
25	213	7988
26	214	7732
27	215	7491
28	217	7268
29	218	7055
30	219	6862
31	221	6692
32	222	6518
33	223	6357
34	226	6233
35	227	6084
36	228	5951
37	229	5817
38	231	5693
39	232	5577
40	233	5461
41	235	5364
42	236	5257
43	237	5162
44	238	5068
45	240	4988
46	242	4923
47	244	4848
48	245	4770
49	246	4691
50	248	4621
51	249	4549
52	250	4484
53	252	4418
54	253	4356
55	254	4292
56	256	4239
57	258	4195
58	259	4137
59	260	4083
60	262	4037
61	263	3985
62	264	3937
63	265	3888
64	267	3843
65	268	3804
66	270	3760
67	271	3718
68	273	3688
69	274	3648
70	276	3614
71	277	3577
72	278	3541
73	280	3504
74	281	3467
75	282	3436
76	283	3401
77	285	3369
78	286	3337
79	287	3307
80	289	3283
81	290	3253
82	291	3225
83	293	3196
84	294	3168
85	295	3141
86	296	3114
87	298	3091
88	299	3065
89	300	3039
90	301	3013
91	303	2991
92	304	2972
93	306	2949
94	307	2927
95	308	2905
96	310	2888
97	311	2867
98	312	2846
99	314	2826
100	315	2806
101	316	2788
102	318	2769
103	319	2755
104	321	2741
105	322	2723
106	324	2705
107	325	2686
108	326	2668
109	327	2651
110	328	2634
111	330	2619
112	331	2604
113	333	2588
114	334	2571
115	335	2559
116	337	2545
117	338	2530
118	339	2516
119	341	2501
120	342	2486
121	343	2474
122	344	2459
123	346	2444
124	347	2430
125	348	2418
126	350	2408
127	351	2396
128	353	2385
129	354	2372
130	355	2360
131	357	2348
132	358	2335
133	359	2323
134	360	2311
135	362	2300
136	363	2289
137	364	2277
138	365	2266
139	367	2256
140	368	2246
141	370	2237
142	371	2226
143	372	2215
144	373	2204
145	375	2193
146	376	2182
147	377	2173
148	378	2163
149	380	2154
150	381	2144
151	383	2138
152	384	2129
153	385	2119
154	387	2110
155	388	2100
156	389	2091
157	391	2084
158	392	2075
159	393	2065
160	394	2056
161	395	2046
162	396	2037
163	398	2031
164	400	2026
165	401	2018
166	403	2010
167	404	2003
168	405	1995
169	407	1987
170	408	1978
171	409	1970
172	410	1962
173	411	1954
174	413	1947
175	413	1937
176	415	1932
177	416	1925
178	418	1919
179	419	1913
180	421	1906
181	422	1899
182	423	1891
183	424	1884
184	426	1877
185	427	1870
186	428	1863
187	430	1857
188	431	1851
189	432	1845
190	433	1838
191	435	1830
192	436	1823
193	437	1817
194	439	1812
195	440	1805
196	441	1799
197	442	1792
198	443	1786
199	445	1780
200	446	1775
201	448	1770
202	449	1764
203	450	1758
204	452	1753
205	453	1748
206	454	1742
207	456	1736
208	457	1731
209	458	1725
210	459	1719
211	461	1715
212	463	1710
213	464	1706
214	465	1700
215	466	1694
216	468	1689
217	469	1684
218	471	1679
219	472	1674
220	473	1669
221	474	1664
222	476	1660
223	478	1657
224	479	1652
225	481	1648
226	482	1643
227	483	1638
228	485	1633
229	486	1627
230	487	1622
231	488	1617
232	489	1612
233	490	1606
234	492	1602
235	493	1598
236	495	1594
237	496	1589
238	497	1584
239	498	1579
240	499	1574
241	501	1569
242	502	1564
243	503	1560
244	504	1555
245	505	1550
246	507	1546
247	508	1542
248	510	1538
249	511	1533
250	512	1530
251	514	1525
252	515	1521
253	516	1516
254	517	1512
255	518	1507
256	519	1503
257	521	1498
258	522	1494
259	523	1490
260	525	1488
261	526	1484
262	528	1479
263	529	1475
264	530	1471
265	531	1466
266	532	1463
267	534	1458
268	535	1454
269	536	1450
270	537	1446
271	538	1441
272	540	1438
273	541	1435
274	542	1431
275	543	1426
276	545	1422
277	546	1419
278	547	1415
279	549	1412
280	550	1408
281	551	1404
282	553	1401
283	554	1397
284	555	1394
285	557	1391
286	558	1387
287	559	1384
288	561	1380
289	562	1376
290	563	1372
291	564	1369
292	565	1365
293	567	1362
294	568	1358
295	569	1355
296	571	1351
297	572	1349
298	574	1347
299	576	1344
300	577	1340
301	578	1337
302	580	1335
303	581	1331
304	583	1328
305	584	1325
306	585	1321
307	586	1318
308	588	1316
309	590	1313
310	591	1309
311	592	1306
312	593	1302
313	594	1299
314	596	1296
315	597	1292
316	598	1289
317	599	1286
318	600	1282
319	602	1279
320	603	1277
321	605	1274
322	606	1270
323	607	1267
324	608	1264
325	610	1261
326	611	1257
327	612	1254
328	613	1251
329	614	1248
330	616	1245
331	617	1242
332	619	1241
333	621	1238
334	622	1236
335	624	1234
336	625	1231
337	627	1229
338	629	1227
339	631	1225
340	632	1222
341	634	1220
342	636	1219
343	638	1217
344	639	1214
345	641	1211
346	642	1209
347	644	1206
348	645	1204
349	647	1201
350	648	1199
351	650	1197
352	652	1196
353	654	1193
354	656	1192
355	657	1189
356	659	1187
357	660	1184
358	662	1182
359	663	1180
360	665	1178
361	667	1175
362	669	1174
363	670	1172
364	672	1170
365	674	1168
366	676	1166
367	677	1164
368	679	1161
369	681	1159
370	683	1158
371	685	1156
372	686	1154
373	689	1153
374	690	1151
375	692	1149
376	694	1146
377	695	1144
378	698	1143
379	700	1143
380	702	1142
381	704	1140
382	706	1137
383	707	1135
384	710	1134
385	711	1132
386	713	1129
387	715	1128
388	717	1126
389	719	1124
390	720	1122
391	722	1120
392	724	1118
393	725	1116
394	727	1114
395	729	1112
396	731	1111
397	733	1109
398	735	1107
399	737	1105
400	738	1103
401	740	1101
402	742	1099
403	744	1097
404	746	1096
405	748	1095
406	749	1092
407	751	1090
408	753	1088
409	755	1086
410	756	1084
411	758	1082
412	760	1080
413	762	1078
414	764	1077
415	765	1075
416	767	1072
417	769	1070
418	770	1068
419	772	1066
420	774	1064
421	775	1062
422	777	1060
423	779	1058
424	781	1056
425	782	1054
426	784	1052
427	785	1050
428	787	1048
429	789	1046
430	791	1044
431	793	1043
432	795	1041
433	797	1039
434	815	1059
435	817	1057
436	820	1056
437	822	1055
438	824	1053
439	827	1052
440	830	1052
441	833	1051
442	835	1050
443	838	1049
444	840	1048
445	843	1047
446	845	1045
447	847	1044
448	849	1042
449	851	1041
450	854	1039
451	855	1037
452	858	1036
453	860	1034
454	862	1032
455	863	1030
456	865	1028
457	867	1026
458	869	1024
459	871	1022
460	873	1020
461	875	1019
462	877	1017
463	878	1015
464	880	1012
465	882	1010
466	884	1009
467	885	1006
468	887	1004
469	889	1003
470	891	1001
471	893	999
472	895	997
473	897	995
474	898	993
475	900	991
476	901	988
477	903	987
478	905	985
479	907	983
480	909	981
481	911	979
482	912	977
483	914	975
484	916	973
485	918	971
486	919	968
487	921	966
488	923	964
489	924	962
490	926	960
491	928	958
492	930	956
493	931	954
494	933	952
495	935	950
496	937	948
497	939	946
498	940	944
499	942	942
500	943	939
501	945	938
502	947	935
503	948	933
504	950	931
505	952	930
506	954	928
507	956	926
508	958	924
509	959	922
510	961	920
511	963	918
512	965	916
513	966	914
514	969	912
515	970	910
516	972	908
517	974	906
518	976	904
519	977	902
520	979	900
521	980	898
522	982	896
523	984	894
524	986	892
525	988	890
526	990	888
527	991	886
528	993	884
529	994	882
530	996	880
531	998	878
532	1000	876
533	1002	874
534	1003	872
535	1005	870
536	1007	868
537	1008	866
538	1010	864
539	1011	861
540	1013	859
541	1015	857
542	1017	856
543	1018	853
544	1020	851
545	1022	850
546	1024	848
547	1025	845
548	1027	844
549	1029	842
550	1031	840
551	1033	839
552	1035	837
553	1037	835
554	1039	833
555	1040	831
556	1042	829
557	1044	827
558	1046	825
559	1048	823
560	1050	821
561	1051	819
562	1053	817
563	1055	815
564	1056	813
565	1058	811
566	1060	809
567	1061	807
568	1063	805
569	1066	804
570	1067	802
571	1069	799
572	1070	797
573	1072	796
574	1074	794
575	1075	791
576	1077	790
577	1079	788
578	1081	786
579	1083	784
580	1084	782
581	1086	780
582	1088	778
583	1090	776
584	1092	774
585	1093	772
586	1095	770
587	1097	769
588	1099	767
589	1100	765
590	1102	762
591	1103	760
592	1105	758
593	1107	756
594	1108	754
595	1110	753
596	1113	751
597	1115	749
598	1116	747
599	1118	745
600	1120	743
601	1121	741
602	1123	739
603	1125	737
604	1126	735
605	1129	734
606	1131	732
607	1132	730
608	1134	728
609	1136	726
610	1138	724
611	1139	722
612	1141	720
613	1142	718
614	1144	716
615	1146	714
616	1148	712
617	1149	710
618	1151	708
619	1153	706
620	1154	704
621	1156	702
622	1158	701
623	1160	699
624	1162	697
625	1164	695
626	1165	693
627	1167	691
628	1169	689
629	1170	687
630	1172	685
631	1173	683
632	1175	681
633	1177	679
634	1179	677
635	1180	675
636	1182	673
637	1184	671
638	1185	669
639	1187	667
640	1188	665
641	1190	663
642	1192	662
643	1194	660
644	1196	658
645	1197	656
